ID,pseudostem_height_cyc1,bunch_weight_cyc1,numb_hands_cyc1,numb_fruits_cyc1,sap_colour,petiole_canal_leaf_III,rachis_position,male_bud_shape,pulp_colour_maturity
01AUS0430001,NULL,NULL,NULL,NULL,2,4,1,2,NULL
01AUS0430002,NULL,NULL,NULL,NULL,1,2,3,2,NULL
01AUS0430003,NULL,NULL,NULL,NULL,1,2,3,3,3
01AUS0430004,NULL,NULL,NULL,NULL,2,3,1,1,3
01AUS0430005,NULL,NULL,NULL,NULL,2,1,1,3,4
01AUS0430006,NULL,NULL,NULL,NULL,2,2,1,2,5
01AUS0430007,NULL,NULL,NULL,NULL,2,1,1,3,4
01AUS0430008,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
01AUS0430009,NULL,NULL,NULL,NULL,2,4,1,2,2
01AUS0430010,NULL,NULL,NULL,NULL,1,2,2,3,NULL
01AUS0430011,NULL,NULL,NULL,NULL,2,3,3,3,2
01AUS0430012,NULL,NULL,NULL,NULL,1,3,3,2,4
01AUS0430013,NULL,NULL,NULL,NULL,1,4,NULL,2,4
01AUS0430014,NULL,NULL,NULL,NULL,2,4,1,2,4
01AUS0430015,NULL,NULL,NULL,NULL,1,3,1,2,3
01AUS0430016,NULL,NULL,NULL,NULL,1,3,1,2,5
01AUS0430017,NULL,NULL,NULL,NULL,1,3,1,2,NULL
01AUS0430018,NULL,NULL,NULL,NULL,2,1,1,3,2
01AUS0430019,NULL,NULL,NULL,NULL,2,3,1,3,NULL
01AUS0430020,NULL,NULL,NULL,NULL,1,3,1,4,2
01AUS0430021,NULL,NULL,NULL,NULL,1,3,1,3,4
01AUS0430022,NULL,NULL,NULL,NULL,1,3,3,3,4
01AUS0430023,NULL,NULL,NULL,NULL,2,3,1,3,3
01AUS0430024,NULL,NULL,NULL,NULL,2,2,1,2,3
01AUS0430025,NULL,NULL,NULL,NULL,2,2,1,3,3
01AUS0430026,NULL,NULL,NULL,NULL,1,3,3,3,2
01AUS0430027,NULL,NULL,NULL,NULL,2,3,2,2,2
01AUS0430028,NULL,NULL,NULL,NULL,2,3,1,3,2
01AUS0430029,225,2.5,1,NULL,2,3,3,2,4
01AUS0430030,475,17.5,10.5,NULL,3,1,5,2,0
01AUS0430031,275,12.5,9.5,NULL,1,2,1,2,3
01AUS0430032,NULL,NULL,NULL,NULL,2,2,1,3,4
01AUS0430033,NULL,NULL,NULL,NULL,1,3,3,2,4
01AUS0430034,325,7.5,13.5,NULL,1,2,1,1,0
01AUS0430035,325,12.5,7.5,NULL,2,2,3,2,2
01AUS0430036,375,22.5,10.5,NULL,1,4,1,3,3
01AUS0430037,275,7.5,6.5,NULL,1,3,1,2,5
01AUS0430038,375,7.5,11.5,NULL,1,2,1,2,3
01AUS0430040,325,7.5,6.5,NULL,1,4,3,3,5
01AUS0430041,275,7.5,5.5,NULL,1,2,1,2,3
01AUS0430042,225,2.5,2.5,NULL,1,3,2,3,3
01AUS0430043,325,22.5,9.5,NULL,2,4,1,2,NULL
01AUS0430044,225,17.5,8.5,NULL,1,4,1,4,3
01AUS0430045,NULL,NULL,NULL,NULL,2,2,4,2,0
01AUS0430046,275,2.5,6.5,NULL,1,2,1,2,4
01AUS0430047,325,12.5,8.5,NULL,1,2,1,2,5
01AUS0430048,325,2.5,5.6,NULL,2,3,0,4,0
01AUS0430049,325,7.5,7.5,NULL,1,1,3,2,4
01AUS0430050,475,22.5,8.5,NULL,1,2,1,3,NULL
01AUS0430051,NULL,NULL,NULL,NULL,1,4,1,2,NULL
01AUS0430052,425,7.5,8.5,NULL,1,2,2,3,4
01AUS0430053,NULL,NULL,NULL,NULL,2,1,4,3,NULL
01AUS0430054,225,2.5,5.5,NULL,2,1,1,1,4
01AUS0430055,375,12.5,7.5,NULL,1,1,1,1,2
01AUS0430056,425,12.5,10.5,NULL,2,2,1,3,4
01AUS0430057,NULL,NULL,NULL,NULL,2,2,4,2,0
01AUS0430058,325,7.5,10.5,NULL,2,2,2,3,1
01AUS0430059,325,7.5,13.5,NULL,1,2,1,1,0
01AUS0430060,325,12.5,9.5,NULL,1,1,1,2,2
01AUS0430061,325,17.5,8.5,NULL,3,5,1,2,2
01AUS0430062,375,7.5,10.5,NULL,3,1,0,2,4
01AUS0430063,525,2.5,12.5,NULL,2,3,1,3,4
01AUS0430064,225,7.5,5.5,NULL,1,1,3,3,5
01AUS0430065,275,2.5,8.5,NULL,2,3,3,3,0
01AUS0430066,325,2.5,10.5,NULL,2,3,4,2,NULL
01AUS0430067,325,12.5,8.5,NULL,2,1,3,3,4
