id,pseudostem_height_cyc1,bunch_weight_cyc1,numb_hands_cyc1,numb_fruits_cyc1,sap_colour,petiole_canal_leaf_III,rachis_position,male_bud_shape,pulp_colour_maturity
01GLP0050004,NULL,NULL,NULL,NULL,1,4,5,NULL,NULL
01GLP0050006,NULL,NULL,NULL,NULL,1,3,5,2,2
01GLP0050008,NULL,NULL,NULL,NULL,1,2,5,3,NULL
01GLP0050009,NULL,NULL,NULL,NULL,1,2,5,3,2
01GLP0050010,NULL,NULL,NULL,NULL,1,3,2,2,NULL
01GLP0050012,NULL,NULL,NULL,NULL,1,4,4,1,1
01GLP0050013,NULL,NULL,NULL,NULL,1,3,1,1,2
01GLP0050014,NULL,NULL,NULL,NULL,1,3,4,1,2
01GLP0050015,NULL,NULL,NULL,NULL,2,1,1,1,1
01GLP0050016,NULL,NULL,NULL,NULL,1,1,2,2,1
01GLP0050017,NULL,NULL,NULL,NULL,2,2,1,2,2
01GLP0050018,NULL,NULL,NULL,NULL,1,3,3,2,1
01GLP0050019,NULL,NULL,NULL,NULL,1,3,4,1,1
01GLP0050020,NULL,NULL,NULL,NULL,1,2,4,1,2
01GLP0050021,NULL,NULL,NULL,NULL,1,4,1,1,2
01GLP0050022,NULL,NULL,NULL,NULL,1,2,1,3,1
01GLP0050023,227.3,6.0,10.0,134.7,1,2,1,2,1
01GLP0050024,NULL,NULL,NULL,NULL,1,2,1,2,1
01GLP0050025,NULL,NULL,NULL,NULL,1,1,1,2,2
01GLP0050026,NULL,NULL,NULL,NULL,2,1,1,1,1
01GLP0050027,NULL,NULL,NULL,NULL,1,2,4,1,3
01GLP0050028,NULL,NULL,NULL,NULL,1,1,1,3,2
01GLP0050029,NULL,NULL,NULL,NULL,2,1,4,1,2
01GLP0050030,NULL,NULL,NULL,NULL,1,1,1,3,3
01GLP0050034,NULL,NULL,NULL,NULL,2,3,1,1,2
01GLP0050035,NULL,NULL,NULL,NULL,1,3,4,1,2
01GLP0050036,NULL,NULL,NULL,NULL,1,3,4,1,2
01GLP0050037,NULL,NULL,NULL,NULL,1,2,4,1,1
01GLP0050038,242.0,2.0,5.0,98.0,1,2,1,3,1
01GLP0050043,NULL,NULL,NULL,NULL,1,3,4,3,1
01GLP0050044,NULL,NULL,NULL,NULL,1,2,1,2,4
01GLP0050045,NULL,NULL,NULL,NULL,1,1,1,1,1
01GLP0050046,NULL,NULL,NULL,NULL,2,3,1,1,1
01GLP0050047,NULL,NULL,NULL,NULL,1,2,1,2,2
01GLP0050049,305.0,4.5,9.5,155.5,2,3,1,5,1
01GLP0050050,350.0,12.0,11.0,139.0,2,2,2,5,3
01GLP0050059,NULL,NULL,NULL,NULL,2,3,1,2,4
01GLP0050063,222.5,2.5,5.5,72.0,1,3,1,1,3
01GLP0050064,NULL,NULL,NULL,NULL,1,2,2,3,2
01GLP0050069,NULL,NULL,NULL,NULL,2,2,1,2,3
01GLP0050070,240.0,6.5,7.0,106.0,2,2,1,2,5
01GLP0050071,310,11.7,6.3,92.7,1,1,1,1,1
01GLP0050072,373.0,3.0,4.0,68.0,1,1,3,1,5
01GLP0050073,219.0,5.5,4.0,45.5,1,3,1,2,5
01GLP0050074,300.0,8.0,6.0,94.0,2,1,1,1,5
01GLP0050076,NULL,NULL,NULL,NULL,1,1,1,2,5
01GLP0050078,NULL,NULL,NULL,NULL,1,1,2,3,5
01GLP0050080,NULL,NULL,NULL,NULL,2,4,1,1,4
01GLP0050081,NULL,NULL,NULL,NULL,1,2,1,2,4
